Vivado Simulator 2020.2
Time resolution is 1 ps
t=0 rst=0 clk=0 | wr_en=0 wr_addr=0 wr_data=0000 | rd0=0:xxxx rd1=0:xxxx | S1=0 S2=0 imm=0000 ALUOp=0000 | in1=xxxx in2=xxxx out=xxxx ovf=x br=0
t=300000 rst=1 clk=0 | wr_en=0 wr_addr=3 wr_data=0011 | rd0=2:0000 rd1=3:0000 | S1=0 S2=0 imm=0011 ALUOp=0010 | in1=0000 in2=0000 out=0000 ovf=0 br=0
t=310000 rst=1 clk=1 | wr_en=0 wr_addr=3 wr_data=0011 | rd0=2:0000 rd1=3:0000 | S1=0 S2=0 imm=0011 ALUOp=0010 | in1=0000 in2=0000 out=0000 ovf=0 br=0
t=312000 rst=1 clk=1 | wr_en=0 wr_addr=3 wr_data=0011 | rd0=2:0000 rd1=3:0000 | S1=0 S2=0 imm=0011 ALUOp=0011 | in1=0000 in2=0000 out=0000 ovf=0 br=0
t=320000 rst=1 clk=0 | wr_en=0 wr_addr=3 wr_data=0011 | rd0=2:0000 rd1=3:0000 | S1=0 S2=0 imm=0011 ALUOp=0011 | in1=0000 in2=0000 out=0000 ovf=0 br=0
t=330000 rst=1 clk=1 | wr_en=0 wr_addr=3 wr_data=0011 | rd0=2:0000 rd1=3:0000 | S1=0 S2=0 imm=0011 ALUOp=0011 | in1=0000 in2=0000 out=0000 ovf=0 br=0
t=332000 rst=1 clk=1 | wr_en=0 wr_addr=3 wr_data=0011 | rd0=2:0000 rd1=3:0000 | S1=0 S2=0 imm=0011 ALUOp=1000 | in1=0000 in2=0000 out=0000 ovf=0 br=0
t=340000 rst=1 clk=0 | wr_en=0 wr_addr=3 wr_data=0011 | rd0=2:0000 rd1=3:0000 | S1=0 S2=0 imm=0011 ALUOp=1000 | in1=0000 in2=0000 out=0000 ovf=0 br=0
t=350000 rst=1 clk=1 | wr_en=0 wr_addr=3 wr_data=0011 | rd0=2:0000 rd1=3:0000 | S1=0 S2=0 imm=0011 ALUOp=1000 | in1=0000 in2=0000 out=0000 ovf=0 br=0
t=352000 rst=1 clk=1 | wr_en=0 wr_addr=3 wr_data=0011 | rd0=2:0000 rd1=3:0000 | S1=0 S2=0 imm=0011 ALUOp=0001 | in1=0000 in2=0000 out=ffff ovf=0 br=0
t=360000 rst=1 clk=0 | wr_en=0 wr_addr=3 wr_data=0011 | rd0=2:0000 rd1=3:0000 | S1=0 S2=0 imm=0011 ALUOp=0001 | in1=0000 in2=0000 out=ffff ovf=0 br=0
t=370000 rst=1 clk=1 | wr_en=0 wr_addr=3 wr_data=0011 | rd0=2:0000 rd1=3:0000 | S1=0 S2=0 imm=0011 ALUOp=0001 | in1=0000 in2=0000 out=ffff ovf=0 br=0
$finish called at time : 372 ns : File "C:/Users/akars/Downloads/Lab_3/Lab_3/lab3/lab3/lab3.srcs/sim_1/new/alu_reg_file_tb.sv" Line 174
